타이타닉,평점,9.34
아바타,평점,9.07
매트릭스,평점,9.39
반지의 제왕,평점,9.28
어벤져스,평점,8.80
겨울왕국,평점,9.12
트랜스포머,평점,8.84
해리 포터,평점,9.23
다크나이트,평점,9.33
캐리비안의 해적,평점,9.08
